,name,error,time_taken,rank,recompression_rank,run,left_rank,right_rank
920,STTA+3,0.0008956242305661993,0.038913763128221035,,10.0,20.0,20.0,23.0
921,STTA+3,0.0009526054395575533,0.040071936789900064,,10.0,21.0,20.0,23.0
922,STTA+3,0.0012198512316591204,0.04745892761275172,,10.0,22.0,20.0,23.0
923,STTA+3,0.0009618402048136244,0.04205625597387552,,10.0,23.0,20.0,23.0
924,STTA+3,0.0010751378438911773,0.04046089481562376,,10.0,24.0,20.0,23.0
925,STTA+3,0.0011243994214053712,0.04763693595305085,,10.0,25.0,20.0,23.0
926,STTA+3,0.0009383640671262493,0.03951053274795413,,10.0,26.0,20.0,23.0
927,STTA+3,0.0010333762771711527,0.03955494100227952,,10.0,27.0,20.0,23.0
928,STTA+3,0.0009842346645342263,0.044255785178393126,,10.0,28.0,20.0,23.0
929,STTA+3,0.0011173162639634385,0.0458567850291729,,10.0,29.0,20.0,23.0
930,STTA+3,0.001103942000302301,0.04764642100781202,,10.0,0.0,21.0,24.0
931,STTA+3,0.0010980197155320678,0.04090251121670008,,10.0,1.0,21.0,24.0
932,STTA+3,0.0008082818730858161,0.043681036215275526,,10.0,2.0,21.0,24.0
933,STTA+3,0.0008818752714507555,0.04024137882515788,,10.0,3.0,21.0,24.0
934,STTA+3,0.0009174207186508048,0.043211350217461586,,10.0,4.0,21.0,24.0
935,STTA+3,0.0010608686270172209,0.03822682797908783,,10.0,5.0,21.0,24.0
936,STTA+3,0.0010409765897133711,0.0347014800645411,,10.0,6.0,21.0,24.0
937,STTA+3,0.0009867000553215827,0.03835989208891988,,10.0,7.0,21.0,24.0
938,STTA+3,0.0011097351479295407,0.04263303941115737,,10.0,8.0,21.0,24.0
939,STTA+3,0.0009771593748497168,0.04193133395165205,,10.0,9.0,21.0,24.0
940,STTA+3,0.0012016506335144853,0.03986859368160367,,10.0,10.0,21.0,24.0
941,STTA+3,0.000858898094515027,0.03852709103375673,,10.0,11.0,21.0,24.0
942,STTA+3,0.001003904039783248,0.04793316312134266,,10.0,12.0,21.0,24.0
943,STTA+3,0.001053383288622981,0.04157604603096843,,10.0,13.0,21.0,24.0
