,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
175,STTAx2,1.6071913671164822e-07,0.9707106628920883,80.0,160.0,100.0,80.0,8.0,tt_error_func,
176,STTAx2,4.499525928109208e-08,1.024376102956012,85.0,170.0,100.0,85.0,8.0,tt_error_func,
177,STTAx2,1.560479239217777e-08,1.0217533509712666,90.0,180.0,100.0,90.0,8.0,tt_error_func,
178,STTAx2,4.745330453002067e-09,1.2937462870031595,95.0,190.0,100.0,95.0,8.0,tt_error_func,
179,STTAx2,1.6265143135042358e-12,1.1131856620777398,100.0,200.0,100.0,100.0,8.0,tt_error_func,
180,STTAx2,1.3141167459797514,0.35377150611020625,5.0,10.0,100.0,5.0,9.0,tt_error_func,
181,STTAx2,0.7341701151112574,0.38563383813016117,10.0,20.0,100.0,10.0,9.0,tt_error_func,
182,STTAx2,0.294042045693384,0.4723060829564929,15.0,30.0,100.0,15.0,9.0,tt_error_func,
183,STTAx2,0.11948196572342065,0.47232783306390047,20.0,40.0,100.0,20.0,9.0,tt_error_func,
184,STTAx2,0.04041387914984941,0.503144291928038,25.0,50.0,100.0,25.0,9.0,tt_error_func,
185,STTAx2,0.011670165514366398,0.4950692530255765,30.0,60.0,100.0,30.0,9.0,tt_error_func,
186,STTAx2,0.00502888109770306,0.5517096710391343,35.0,70.0,100.0,35.0,9.0,tt_error_func,
187,STTAx2,0.0013223649264586883,0.592096792999655,40.0,80.0,100.0,40.0,9.0,tt_error_func,
188,STTAx2,0.00046124006015366094,0.6877101401332766,45.0,90.0,100.0,45.0,9.0,tt_error_func,
189,STTAx2,0.0001666101768032789,0.6382452449761331,50.0,100.0,100.0,50.0,9.0,tt_error_func,
190,STTAx2,4.5920021953167956e-05,0.704574161907658,55.0,110.0,100.0,55.0,9.0,tt_error_func,
191,STTAx2,1.3425964331156831e-05,0.9144757320173085,60.0,120.0,100.0,60.0,9.0,tt_error_func,
192,STTAx2,4.126880449221503e-06,0.894853999838233,65.0,130.0,100.0,65.0,9.0,tt_error_func,
193,STTAx2,1.6498381096512272e-06,0.8993230280466378,70.0,140.0,100.0,70.0,9.0,tt_error_func,
194,STTAx2,4.3078890809490577e-07,0.9727132439147681,75.0,150.0,100.0,75.0,9.0,tt_error_func,
195,STTAx2,1.2595122993778837e-07,0.9638272589072585,80.0,160.0,100.0,80.0,9.0,tt_error_func,
196,STTAx2,4.2629425270452654e-08,1.0053076720796525,85.0,170.0,100.0,85.0,9.0,tt_error_func,
197,STTAx2,1.4368863187690607e-08,1.430662329075858,90.0,180.0,100.0,90.0,9.0,tt_error_func,
198,STTAx2,4.372124949670858e-09,1.159801754169166,95.0,190.0,100.0,95.0,9.0,tt_error_func,
199,STTAx2,3.351201978006614e-13,1.3930566899944097,100.0,200.0,100.0,100.0,9.0,tt_error_func,
200,STTA+3,1.5117462237468913,0.3628389041405171,5.0,8.0,100.0,5.0,0.0,tt_error_func,
201,STTA+3,1.7430154562587121,0.337049342924729,10.0,13.0,100.0,10.0,0.0,tt_error_func,
202,STTA+3,0.8128764215230336,0.504186769016087,15.0,18.0,100.0,15.0,0.0,tt_error_func,
203,STTA+3,0.269038488447932,0.48488269513472915,20.0,23.0,100.0,20.0,0.0,tt_error_func,
204,STTA+3,0.08111945047824756,0.5859502381645143,25.0,28.0,100.0,25.0,0.0,tt_error_func,
205,STTA+3,0.028388456596451787,0.5170111740007997,30.0,33.0,100.0,30.0,0.0,tt_error_func,
206,STTA+3,0.010982633555815358,0.5217394079081714,35.0,38.0,100.0,35.0,0.0,tt_error_func,
207,STTA+3,0.004043218317874036,0.6164081739261746,40.0,43.0,100.0,40.0,0.0,tt_error_func,
208,STTA+3,0.0014942025172545435,0.6904070691671222,45.0,48.0,100.0,45.0,0.0,tt_error_func,
209,STTA+3,0.0004583759773652676,0.7665776328649372,50.0,53.0,100.0,50.0,0.0,tt_error_func,
210,STTA+3,0.00016725076923782475,0.5518906570505351,55.0,58.0,100.0,55.0,0.0,tt_error_func,
211,STTA+3,4.472182119600848e-05,0.6068430671002716,60.0,63.0,100.0,60.0,0.0,tt_error_func,
212,STTA+3,1.880942977916971e-05,0.7373761979397386,65.0,68.0,100.0,65.0,0.0,tt_error_func,
213,STTA+3,7.397094319210636e-06,0.713714046170935,70.0,73.0,100.0,70.0,0.0,tt_error_func,
214,STTA+3,2.307930611116265e-06,0.8907333761453629,75.0,78.0,100.0,75.0,0.0,tt_error_func,
